symbol,timestamp,open,high,low,close,volume
BNB,2024-12-02 00:00:00+00:00,656.0,793.86,622.85,742.0,7134889.018
BNB,2024-12-09 00:00:00+00:00,742.0,742.5,642.0,718.87,4329592.975
BNB,2024-12-16 00:00:00+00:00,718.87,737.37,618.69,649.77,4399047.498
BNB,2024-12-23 00:00:00+00:00,649.77,731.24,638.1,694.71,2539846.608
BNB,2024-12-30 00:00:00+00:00,694.71,721.84,687.75,709.29,1535089.3669999999
BNB,2025-01-06 00:00:00+00:00,709.29,745.29,674.72,693.34,1953165.648
BNB,2025-01-13 00:00:00+00:00,693.35,729.97,660.0,683.19,2470394.062
BNB,2025-01-20 00:00:00+00:00,683.2,709.38,664.64,667.37,2128716.396
BNB,2025-01-27 00:00:00+00:00,667.36,689.44,600.0,617.8,1965022.6639999999
BNB,2025-02-03 00:00:00+00:00,617.8,648.13,500.0,615.81,3939397.033
BNB,2025-02-10 00:00:00+00:00,615.81,732.0,596.24,673.1,4706424.382
BNB,2025-02-17 00:00:00+00:00,673.1,682.29,629.65,658.42,2040308.227
BNB,2025-02-24 00:00:00+00:00,658.41,659.56,559.71,623.94,3093458.2169999997
BNB,2025-03-03 00:00:00+00:00,623.94,624.36,546.83,554.65,2069694.5760000001
BNB,2025-03-10 00:00:00+00:00,554.65,622.8,507.0,602.2,2839856.787
BNB,2025-03-17 00:00:00+00:00,602.21,643.72,602.04,623.79,2571586.017
BNB,2025-03-24 00:00:00+00:00,623.8,644.88,593.58,602.2,2595532.056
BNB,2025-03-31 00:00:00+00:00,602.2,618.54,544.17,555.54,2323143.558
BNB,2025-04-07 00:00:00+00:00,555.55,600.48,520.0,584.28,2157941.423
BNB,2025-04-14 00:00:00+00:00,584.29,596.08,576.0,592.77,1025382.9299999999
BNB,2025-04-21 00:00:00+00:00,592.77,619.99,592.53,603.46,1492478.486
BNB,2025-04-28 00:00:00+00:00,603.46,610.75,584.7,586.03,1133473.892
BNB,2025-05-05 00:00:00+00:00,586.02,678.95,583.55,651.15,2239399.07
BNB,2025-05-12 00:00:00+00:00,651.15,693.0,634.39,651.53,2138334.116
BNB,2025-05-19 00:00:00+00:00,651.54,691.35,633.51,669.44,1919044.77
BNB,2025-05-26 00:00:00+00:00,669.45,697.73,645.04,660.77,1488082.969
BNB,2025-06-02 00:00:00+00:00,660.77,673.43,625.44,652.0,1030682.656
BNB,2025-06-09 00:00:00+00:00,652.0,674.8,639.0,648.19,1030963.98
BNB,2025-06-16 00:00:00+00:00,648.19,659.46,601.25,615.81,1061619.48
BNB,2025-06-23 00:00:00+00:00,615.81,656.0,615.05,654.9,836025.716
BNB,2025-06-30 00:00:00+00:00,654.9,664.99,643.71,663.13,631389.462
BNB,2025-07-07 00:00:00+00:00,663.13,697.24,656.77,692.0,996190.969
BNB,2025-07-14 00:00:00+00:00,692.01,765.56,675.3,756.82,2088286.1979999999
BNB,2025-07-21 00:00:00+00:00,756.82,847.12,742.62,844.0,2580146.6691
BNB,2025-07-28 00:00:00+00:00,844.0,861.1,730.01,751.21,2395541.2192
BNB,2025-08-04 00:00:00+00:00,751.21,819.44,745.11,807.22,1263185.652
BNB,2025-08-11 00:00:00+00:00,807.22,869.4,792.0,855.38,2105058.1873000003
BNB,2025-08-18 00:00:00+00:00,855.38,900.71,818.57,876.51,2045207.8872
BNB,2025-08-25 00:00:00+00:00,876.51,881.36,829.59,857.65,1258916.016
BNB,2025-09-01 00:00:00+00:00,857.66,884.05,840.0,880.05,1044796.871
BNB,2025-09-08 00:00:00+00:00,880.05,944.95,870.01,926.51,1466762.3156
BNB,2025-09-15 00:00:00+00:00,926.51,1083.47,910.64,1047.8,2403993.8029
BNB,2025-09-22 00:00:00+00:00,1047.8,1050.55,932.01,993.01,2825463.011
BNB,2025-09-29 00:00:00+00:00,993.01,1192.42,991.12,1167.38,2589666.1346
BNB,2025-10-06 00:00:00+00:00,1167.38,1349.99,860.11,1302.65,7452517.7098
BNB,2025-10-13 00:00:00+00:00,1302.65,1375.11,1143.01,1207.32,3143010.7069
