symbol,timestamp,open,high,low,close,volume
HYPE,2025-05-26 00:00:00+00:00,33.387,34.348,30.724,34.152,12285063.600000001
HYPE,2025-06-02 00:00:00+00:00,34.156,38.238,32.417,34.984,32933186.67
HYPE,2025-06-09 00:00:00+00:00,34.987,44.088,34.706,41.193,63453583.58
HYPE,2025-06-16 00:00:00+00:00,41.191,45.846,30.913,35.754,110296639.93
HYPE,2025-06-23 00:00:00+00:00,35.761,39.901,33.272,39.775,66490587.74
HYPE,2025-06-30 00:00:00+00:00,39.778,41.269,36.809,39.829,44383555.74
HYPE,2025-07-07 00:00:00+00:00,39.829,49.307,36.952,48.95,37455948.0
HYPE,2025-07-14 00:00:00+00:00,48.942,49.923,43.045,45.997,40159854.66
HYPE,2025-07-21 00:00:00+00:00,45.991,47.823,41.122,43.649,43476380.11
HYPE,2025-07-28 00:00:00+00:00,43.655,46.095,35.493,38.18,61489053.07
HYPE,2025-08-04 00:00:00+00:00,38.18,45.446,36.855,45.269,42954746.120000005
HYPE,2025-08-11 00:00:00+00:00,45.27,49.564,42.153,46.04,59489141.28
HYPE,2025-08-18 00:00:00+00:00,46.041,47.0,40.415,46.061,53191563.43
HYPE,2025-08-25 00:00:00+00:00,46.061,51.254,42.357,44.28,67346477.07
HYPE,2025-09-01 00:00:00+00:00,44.284,47.895,42.504,47.113,34613248.64
HYPE,2025-09-08 00:00:00+00:00,47.112,57.499,46.97,53.688,63228976.19
HYPE,2025-09-15 00:00:00+00:00,53.688,59.63,50.635,50.89,50308453.11
HYPE,2025-09-22 00:00:00+00:00,50.89,51.337,39.72,47.171,99507960.51
HYPE,2025-09-29 00:00:00+00:00,47.177,51.496,43.506,48.195,70007705.31
HYPE,2025-10-06 00:00:00+00:00,48.195,49.736,21.029,39.621,100507124.1
HYPE,2025-10-13 00:00:00+00:00,39.62,43.625,37.349,41.016,39897087.86
