symbol,timestamp,open,high,low,close,volume
LINK,2024-12-02 00:00:00+00:00,18.91,27.41,18.57,26.09,106911013.85
LINK,2024-12-09 00:00:00+00:00,26.09,30.94,19.56,29.26,95771965.09
LINK,2024-12-16 00:00:00+00:00,29.25,30.85,20.02,22.08,71888095.78
LINK,2024-12-23 00:00:00+00:00,22.08,25.99,20.77,20.96,38875936.23
LINK,2024-12-30 00:00:00+00:00,20.96,24.05,19.67,23.58,31997547.04
LINK,2025-01-06 00:00:00+00:00,23.58,24.78,19.14,19.84,35745765.46
LINK,2025-01-13 00:00:00+00:00,19.85,26.71,17.83,24.34,59483278.34
LINK,2025-01-20 00:00:00+00:00,24.34,27.21,23.4,24.88,54025952.75
LINK,2025-01-27 00:00:00+00:00,24.88,26.4,19.29,20.46,46135974.59
LINK,2025-02-03 00:00:00+00:00,20.47,22.05,15.4,18.26,63888976.72
LINK,2025-02-10 00:00:00+00:00,18.26,19.84,17.64,18.69,22941210.28
LINK,2025-02-17 00:00:00+00:00,18.7,19.8,17.12,17.62,21919124.77
LINK,2025-02-24 00:00:00+00:00,17.62,17.75,13.45,17.42,42438658.849999994
LINK,2025-03-03 00:00:00+00:00,17.42,17.67,13.08,13.81,53079890.68
LINK,2025-03-10 00:00:00+00:00,13.81,14.71,11.85,13.37,47107037.09
LINK,2025-03-17 00:00:00+00:00,13.38,15.17,13.34,14.47,19044766.58
LINK,2025-03-24 00:00:00+00:00,14.46,16.0,13.19,13.41,19387286.9
LINK,2025-03-31 00:00:00+00:00,13.42,14.4,11.0,11.28,27632993.92
LINK,2025-04-07 00:00:00+00:00,11.29,13.29,10.1,12.62,39858822.61
LINK,2025-04-14 00:00:00+00:00,12.63,13.6,11.89,13.28,15663315.93
LINK,2025-04-21 00:00:00+00:00,13.29,15.36,12.88,14.56,22613814.220000003
LINK,2025-04-28 00:00:00+00:00,14.56,15.24,13.81,13.86,16473059.4
LINK,2025-05-05 00:00:00+00:00,13.86,17.47,13.2,17.1,29122365.57
LINK,2025-05-12 00:00:00+00:00,17.1,17.98,14.88,15.88,29924174.98
LINK,2025-05-19 00:00:00+00:00,15.88,17.16,14.84,15.54,30384924.93
LINK,2025-05-26 00:00:00+00:00,15.54,16.19,13.39,14.06,21436213.31
LINK,2025-06-02 00:00:00+00:00,14.06,14.48,12.64,13.73,16215236.530000001
LINK,2025-06-09 00:00:00+00:00,13.73,15.66,12.75,13.3,24887180.28
LINK,2025-06-16 00:00:00+00:00,13.3,14.17,10.94,11.65,22173522.799999997
LINK,2025-06-23 00:00:00+00:00,11.65,13.88,11.39,13.7,17221816.24
LINK,2025-06-30 00:00:00+00:00,13.71,14.08,12.73,13.48,14969119.35
LINK,2025-07-07 00:00:00+00:00,13.49,15.95,13.2,15.66,20978149.67
LINK,2025-07-14 00:00:00+00:00,15.66,20.01,15.14,19.27,40079668.2
LINK,2025-07-21 00:00:00+00:00,19.28,20.28,17.15,19.24,29988119.03
LINK,2025-07-28 00:00:00+00:00,19.24,19.56,15.43,16.3,25929587.77
LINK,2025-08-04 00:00:00+00:00,16.3,22.7,16.03,22.06,37046430.730000004
LINK,2025-08-11 00:00:00+00:00,22.07,26.33,20.84,25.64,62501461.51
LINK,2025-08-18 00:00:00+00:00,25.64,27.87,23.36,25.82,82793783.99
LINK,2025-08-25 00:00:00+00:00,25.82,26.46,22.83,23.2,54825388.25
LINK,2025-09-01 00:00:00+00:00,23.2,23.97,21.87,22.47,31241935.23
LINK,2025-09-08 00:00:00+00:00,22.47,25.64,22.23,24.09,27130321.94
LINK,2025-09-15 00:00:00+00:00,24.1,24.89,22.75,22.96,22356480.28
LINK,2025-09-22 00:00:00+00:00,22.95,23.05,19.82,21.68,28383103.64
LINK,2025-09-29 00:00:00+00:00,21.68,23.13,20.9,22.0,21158893.21
LINK,2025-10-06 00:00:00+00:00,22.0,23.73,7.9,19.0,60264347.55
LINK,2025-10-13 00:00:00+00:00,19.0,20.19,18.07,19.06,17136963.89
