symbol,timestamp,open,high,low,close,volume
SOL,2024-12-02 00:00:00+00:00,236.79,247.0,215.0,237.02,35438092.017
SOL,2024-12-09 00:00:00+00:00,237.02,237.28,203.0,224.27,29833969.564
SOL,2024-12-16 00:00:00+00:00,224.26,228.95,175.26,180.52,40620047.655
SOL,2024-12-23 00:00:00+00:00,180.53,201.85,176.48,189.94,15932999.82
SOL,2024-12-30 00:00:00+00:00,189.94,219.83,185.89,213.41,17053886.325
SOL,2025-01-06 00:00:00+00:00,213.41,223.18,182.0,188.51,21829933.838
SOL,2025-01-13 00:00:00+00:00,188.5,295.83,168.88,252.42,67294268.932
SOL,2025-01-20 00:00:00+00:00,252.4,273.29,229.44,240.5,49734802.551
SOL,2025-01-27 00:00:00+00:00,240.49,244.7,192.31,203.51,32632945.29
SOL,2025-02-03 00:00:00+00:00,203.52,219.97,175.89,200.47,34233065.821
SOL,2025-02-10 00:00:00+00:00,200.47,209.05,186.3,188.27,21667751.404
SOL,2025-02-17 00:00:00+00:00,188.26,189.72,160.88,167.94,24502639.566
SOL,2025-02-24 00:00:00+00:00,167.94,179.85,125.55,178.71,57102095.795
SOL,2025-03-03 00:00:00+00:00,178.72,179.47,125.41,126.51,44145860.436
SOL,2025-03-10 00:00:00+00:00,126.52,136.71,112.0,126.13,28614538.169
SOL,2025-03-17 00:00:00+00:00,126.13,136.12,121.76,132.84,18315263.3
SOL,2025-03-24 00:00:00+00:00,132.85,147.48,122.68,124.82,21895808.461
SOL,2025-03-31 00:00:00+00:00,124.83,136.21,103.81,105.91,31868483.264
SOL,2025-04-07 00:00:00+00:00,105.9,134.11,95.26,128.38,46389408.89
SOL,2025-04-14 00:00:00+00:00,128.38,141.96,123.49,137.86,25590441.216
SOL,2025-04-21 00:00:00+00:00,137.86,157.0,133.82,147.98,25666600.737
SOL,2025-04-28 00:00:00+00:00,147.97,153.99,140.32,143.95,17061245.94
SOL,2025-05-05 00:00:00+00:00,143.94,180.26,141.41,173.19,25733500.986
SOL,2025-05-12 00:00:00+00:00,173.2,184.88,164.01,173.3,26221088.665
SOL,2025-05-19 00:00:00+00:00,173.3,187.71,159.44,175.74,26181846.088
SOL,2025-05-26 00:00:00+00:00,175.75,179.41,150.59,157.68,18124353.314
SOL,2025-06-02 00:00:00+00:00,157.68,163.64,141.53,152.45,16740320.930000002
SOL,2025-06-09 00:00:00+00:00,152.45,168.36,140.21,152.97,23423966.262
SOL,2025-06-16 00:00:00+00:00,152.97,158.8,126.0,131.71,22526961.728
SOL,2025-06-23 00:00:00+00:00,131.71,154.77,130.68,153.32,19350776.608
SOL,2025-06-30 00:00:00+00:00,153.32,159.99,144.85,151.86,17949955.307
SOL,2025-07-07 00:00:00+00:00,151.86,168.2,147.7,161.15,19550336.649
SOL,2025-07-14 00:00:00+00:00,161.15,184.67,157.23,181.43,28096869.226999998
SOL,2025-07-21 00:00:00+00:00,181.44,206.3,175.63,188.64,34384561.17
SOL,2025-07-28 00:00:00+00:00,188.64,195.26,155.83,161.97,21355489.834
SOL,2025-08-04 00:00:00+00:00,161.98,186.18,161.13,182.66,21257648.92
SOL,2025-08-11 00:00:00+00:00,182.67,209.86,173.43,190.99,33871086.681
SOL,2025-08-18 00:00:00+00:00,191.0,211.99,175.69,205.98,31562042.319
SOL,2025-08-25 00:00:00+00:00,205.99,218.0,185.33,200.62,43575253.635
SOL,2025-09-01 00:00:00+00:00,200.62,213.02,194.19,206.35,23969783.297
SOL,2025-09-08 00:00:00+00:00,206.35,249.6,205.59,239.76,33248012.185000002
SOL,2025-09-15 00:00:00+00:00,239.75,253.51,230.15,236.16,22931549.969
SOL,2025-09-22 00:00:00+00:00,236.16,236.96,190.8,210.83,30396613.351
SOL,2025-09-29 00:00:00+00:00,210.83,237.22,204.29,228.56,24276493.39
SOL,2025-10-06 00:00:00+00:00,228.56,237.79,168.79,197.0,37161910.606
SOL,2025-10-13 00:00:00+00:00,196.99,211.25,190.02,206.33,15334931.534
