symbol,timestamp,open,high,low,close,volume
XLM,2024-12-02 00:00:00+00:00,0.5606,0.6081,0.4522,0.4931,3953081693.0
XLM,2024-12-09 00:00:00+00:00,0.4931,0.4932,0.3512,0.4304,2204435418.0
XLM,2024-12-16 00:00:00+00:00,0.4305,0.4718,0.3126,0.3564,2419917836.0
XLM,2024-12-23 00:00:00+00:00,0.3564,0.4141,0.3353,0.3382,818216585.0
XLM,2024-12-30 00:00:00+00:00,0.3382,0.486,0.321,0.4407,2336063317.0
XLM,2025-01-06 00:00:00+00:00,0.4408,0.4698,0.3868,0.4224,1601045487.0
XLM,2025-01-13 00:00:00+00:00,0.4223,0.515,0.3918,0.4332,2636985537.0
XLM,2025-01-20 00:00:00+00:00,0.4332,0.4788,0.4057,0.4063,1252230303.0
XLM,2025-01-27 00:00:00+00:00,0.4062,0.4439,0.3352,0.354,1103531684.0
XLM,2025-02-03 00:00:00+00:00,0.3541,0.3751,0.2586,0.314,1686743476.0
XLM,2025-02-10 00:00:00+00:00,0.3141,0.3663,0.3031,0.3426,712011107.0
XLM,2025-02-17 00:00:00+00:00,0.3426,0.3497,0.3157,0.3331,363311168.0
XLM,2025-02-24 00:00:00+00:00,0.3331,0.3755,0.2526,0.3511,1043010993.0
XLM,2025-03-03 00:00:00+00:00,0.351,0.362,0.2612,0.263,820349633.0
XLM,2025-03-10 00:00:00+00:00,0.2631,0.295,0.2268,0.2625,708689926.0
XLM,2025-03-17 00:00:00+00:00,0.2625,0.2979,0.2623,0.2831,443908318.0
XLM,2025-03-24 00:00:00+00:00,0.2831,0.3022,0.2618,0.2669,277722144.0
XLM,2025-03-31 00:00:00+00:00,0.267,0.2794,0.2231,0.2263,402796170.0
XLM,2025-04-07 00:00:00+00:00,0.2263,0.2523,0.2001,0.238,632853399.0
XLM,2025-04-14 00:00:00+00:00,0.2381,0.2495,0.2306,0.2436,254141583.0
XLM,2025-04-21 00:00:00+00:00,0.2437,0.2975,0.2437,0.2841,536079727.0
XLM,2025-04-28 00:00:00+00:00,0.2842,0.2943,0.2648,0.2654,305016382.0
XLM,2025-05-05 00:00:00+00:00,0.2654,0.3251,0.252,0.3064,509617905.0
XLM,2025-05-12 00:00:00+00:00,0.3064,0.3347,0.2813,0.2925,622462439.0
XLM,2025-05-19 00:00:00+00:00,0.2926,0.3124,0.2769,0.2878,395060212.0
XLM,2025-05-26 00:00:00+00:00,0.2878,0.293,0.259,0.2674,315709289.0
XLM,2025-06-02 00:00:00+00:00,0.2674,0.2763,0.2523,0.2677,311681936.0
XLM,2025-06-09 00:00:00+00:00,0.2678,0.2851,0.2529,0.2587,359949933.0
XLM,2025-06-16 00:00:00+00:00,0.2587,0.2704,0.2168,0.2289,356945583.0
XLM,2025-06-23 00:00:00+00:00,0.2289,0.2498,0.2252,0.2403,251598441.0
XLM,2025-06-30 00:00:00+00:00,0.2404,0.2519,0.2228,0.2505,319710560.0
XLM,2025-07-07 00:00:00+00:00,0.2506,0.4825,0.246,0.4706,2306691492.0
XLM,2025-07-14 00:00:00+00:00,0.4706,0.5206,0.43,0.4625,2478477836.0
XLM,2025-07-21 00:00:00+00:00,0.4626,0.494,0.4009,0.4442,1091752755.0
XLM,2025-07-28 00:00:00+00:00,0.4443,0.4539,0.3613,0.3994,720308762.0
XLM,2025-08-04 00:00:00+00:00,0.3993,0.4689,0.385,0.4446,814799745.0
XLM,2025-08-11 00:00:00+00:00,0.4447,0.4716,0.4098,0.4245,708481549.0
XLM,2025-08-18 00:00:00+00:00,0.4245,0.4291,0.3808,0.4079,521491372.0
XLM,2025-08-25 00:00:00+00:00,0.4079,0.411,0.3518,0.3528,579017512.0
XLM,2025-09-01 00:00:00+00:00,0.3527,0.369,0.3442,0.3616,383684995.0
XLM,2025-09-08 00:00:00+00:00,0.3616,0.4143,0.3584,0.3896,471480316.0
XLM,2025-09-15 00:00:00+00:00,0.3896,0.4047,0.3739,0.3797,366303987.0
XLM,2025-09-22 00:00:00+00:00,0.3797,0.3814,0.3437,0.3676,403046076.0
XLM,2025-09-29 00:00:00+00:00,0.3677,0.4141,0.3578,0.3962,489401411.0
XLM,2025-10-06 00:00:00+00:00,0.3961,0.413,0.16,0.3415,842267066.0
XLM,2025-10-13 00:00:00+00:00,0.3416,0.3546,0.3197,0.3406,193838382.0
